ID,方向,編號,交流道(起),交流道(迄),,緯度(北緯),,經度(東經)
1,N,01F-034.0N,高公局,五股,N,25.067977,E,121.428068
2,N,01F-037.6N,林口(文化一路),高公局,N,25.058667,E,121.397306
3,N,01F-041.3N,林口(文化北路),林口(文化一路),N,25.065081,E,121.363444
4,N,01F-046.7N,桃園(49A),林口(文化北路),N,25.047075,E,121.317761
5,N,01F-049.2N,桃園(49B),桃園(49A),N,25.036481,E,121.295531
6,N,01F-051.1N,機場系統,桃園(49B),N,25.025953,E,121.281731
7,N,01F-053.2N,中壢服務區,機場系統,N,25.012944,E,121.266194
8,N,01F-055.7N,內壢,中壢服務區,N,24.998583,E,121.247722
9,N,01F-058.4N,中壢,內壢,N,24.980558,E,121.228944
10,N,01F-063.3N,平鎮系統(連接台66),中壢,N,24.949281,E,121.195594
11,N,01F-066.4N,幼獅,平鎮系統(連接台66),N,24.929544,E,121.176919
12,N,01F-068.1N,楊梅,幼獅,N,24.917967,E,121.167586
13,N,01F-069.9N,校前路,幼獅,N,24.903297,E,121.159761
14,N,01F-075.0N,湖口,校前路,N,24.893436,E,121.111731
15,N,01F-088.0N,竹北,湖口,N,24.848719,E,121.019031
16,N,01F-092.8N,新竹(光復路),竹北,N,24.808453,E,121.010306
17,N,01F-095.6N,新竹(科學園區),新竹(光復路),N,24.783944,E,121.003725
18,N,01F-098.0N,新竹系統(連接國3),新竹(科學園區),N,24.763586,E,120.998861
19,N,01F-104.5N,頭份,新竹系統(連接國3),N,24.727131,E,120.951897
20,S,01F-033.9S,五股,高公局,N,25.068239,E,121.428764
21,S,01F-037.6S,高公局,林口(文化一路),N,25.058667,E,121.397306
22,S,01F-041.3S,林口(文化一路),林口(文化北路),N,25.065081,E,121.363444
23,S,01F-046.7S,林口(文化北路),桃園(49A),N,25.047075,E,121.317761
24,S,01F-049.2S,桃園(49A),桃園(49B),N,25.036481,E,121.295531
25,S,01F-051.1S,桃園(49B),機場系統,N,25.025953,E,121.281731
26,S,01F-053.2S,機場系統,中壢服務區,N,25.012944,E,121.266194
27,S,01F-055.7S,中壢服務區,內壢,N,24.99858333,E,121.2477222
28,S,01F-057.8S,內壢,中壢,N,24.984414,E,121.233197
29,S,01F-063.3S,中壢,平鎮系統(連接台66),N,24.949281,E,121.195594
30,S,01F-066.4S,平鎮系統(連接台66),幼獅,N,24.929544,E,121.176919
31,S,01F-068.1S,幼獅,楊梅,N,24.917967,E,121.167586
32,S,01F-069.9S,幼獅,校前路,N,24.903297,E,121.159761
33,S,01F-075.0S,校前路,湖口,N,24.893436,E,121.111731
34,S,01F-088.0S,湖口,竹北,N,24.848719,E,121.019031
35,S,01F-092.8S,竹北,新竹(光復路),N,24.808453,E,121.010306
36,S,01F-095.0S,新竹(光復路),新竹(科學園區),N,24.789622,E,121.005247
37,S,01F-098.0S,新竹(科學園區),新竹系統(連接國3),N,24.763586,E,120.998861
38,S,01F-104.5S,新竹系統(連接國3),頭份,N,24.727131,E,120.951897
39,N,03F-044.7N,樹林,土城(連接台65),N,24.950503,E,121.412681
40,N,03F-049.8N,三鶯,樹林,N,24.943825,E,121.365275
41,N,03F-052.5N,鶯歌系統(連接國2),三鶯,N,24.936025,E,121.3419
42,N,03F-055.9N,大溪(連接台66),鶯歌系統(連接國2),N,24.930225,E,121.312458
43,N,03F-064.8N,龍潭,大溪(連接台66),N,24.878792,E,121.250839
44,N,03F-069.8N,高原,龍潭,N,24.856558,E,121.208581
45,N,03F-074.6N,關西服務區,高原,N,24.816364,E,121.200339
46,N,03F-078.3N,關西,關西服務區,N,24.797339,E,121.179128
47,N,03F-084.6N,竹林,關西,N,24.791439,E,121.125997
48,N,03F-096.1N,寶山,竹林,N,24.758442,E,121.030425
49,N,03F-099.6N,新竹系統(連接國1),寶山,N,24.755811,E,120.997269
50,N,03F-102.2N,茄苳,新竹系統(連接國1),N,24.757914,E,120.972267
51,S,03F-044.7S,土城(連接台65),樹林,N,24.950503,E,121.412681
52,S,03F-049.8S,樹林,三鶯,N,24.943825,E,121.365275
53,S,03F-052.5S,三鶯,鶯歌系統(連接國2),N,24.936025,E,121.3419
54,S,03F-055.9S,鶯歌系統(連接國2),大溪(連接台66),N,24.930225,E,121.312458
55,S,03F-064.8S,大溪(連接台66),龍潭,N,24.878792,E,121.250839
56,S,03F-069.8S,龍潭,高原,N,24.856558,E,121.208581
57,S,03F-074.6S,高原,關西服務區,N,24.816364,E,121.200339
58,S,03F-078.3S,關西服務區,關西,N,24.797339,E,121.179128
59,S,03F-084.6S,關西,竹林,N,24.791439,E,121.125997
60,S,03F-096.1S,竹林,寶山,N,24.758442,E,121.030425
61,S,03F-099.6S,寶山,新竹系統(連接國1),N,24.755811,E,120.997269
62,S,03F-102.2S,新竹系統(連接國1),茄苳,N,24.757914,E,120.972267